TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-25 07:13:24,1769325204883,api.jabclubegy.com/api/auth/me,GET,,401,zrs7v-1769325204762-8130d9b8f088,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/index.ts,api.jabclubegy.com,api.jabclubegy.com,dpl_7Fvgf4B5jgQEbWcDj6oJL48o8kzZ,,,,,"📋 Request session info: {
  sessionID: '2R2CVTij6ycPqLvXn_viW4nrm4opmBvn',
  cookieSessionID: undefined,
  sessionIDsMatch: false,
  hasSession: true,
  userId: undefined,
  role: undefined,
  cookieHeader: 'missing',
  sessionCookie: 'not found',
  isSigned: undefined,
  url: '/api/auth/me',
  method: 'GET',
  sessionKeys: [ 'cookie' ],
  storeType: 'PGStore',
  hasStore: true
}",prj_PiULWFp3ADNxPLPvR42vjFB7jwQS,,,,,
2026-01-25 07:13:24,1769325204883,api.jabclubegy.com/api/auth/me,GET,,401,zrs7v-1769325204762-8130d9b8f088,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/index.ts,api.jabclubegy.com,api.jabclubegy.com,dpl_7Fvgf4B5jgQEbWcDj6oJL48o8kzZ,,,,,"👤 getCurrentUser - Session check: {
  sessionID: '2R2CVTij6ycPqLvXn_viW4nrm4opmBvn',
  hasSession: true,
  userId: undefined,
  role: undefined,
  cookie: undefined,
  sessionCookie: undefined
}",prj_PiULWFp3ADNxPLPvR42vjFB7jwQS,,,,,
2026-01-25 07:13:24,1769325204883,api.jabclubegy.com/api/auth/me,GET,,401,zrs7v-1769325204762-8130d9b8f088,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",warning,production,main,MISS,serverless,/api/index.ts,api.jabclubegy.com,api.jabclubegy.com,dpl_7Fvgf4B5jgQEbWcDj6oJL48o8kzZ,,,,,"⚠️ getCurrentUser - No userId in session: {
  sessionID: '2R2CVTij6ycPqLvXn_viW4nrm4opmBvn',
  sessionKeys: [ 'cookie' ]
}",prj_PiULWFp3ADNxPLPvR42vjFB7jwQS,,,,,
2026-01-25 07:13:24,1769325204762,api.jabclubegy.com/api/auth/me,GET,,401,zrs7v-1769325204762-8130d9b8f088,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/index.ts,api.jabclubegy.com,api.jabclubegy.com,dpl_7Fvgf4B5jgQEbWcDj6oJL48o8kzZ,6,iad1,290,2048,,prj_PiULWFp3ADNxPLPvR42vjFB7jwQS,,,01KFT005C44SVZZCGPMYKD4DRC,wSQD6qGaMJha,1
2026-01-25 07:13:24,1769325204382,api.jabclubegy.com/api/admin/dashboard/stats,GET,,401,zrs7v-1769325204265-da6dc692368a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/index.ts,api.jabclubegy.com,api.jabclubegy.com,dpl_7Fvgf4B5jgQEbWcDj6oJL48o8kzZ,,,,,"📋 Request session info: {
  sessionID: 'YKQOcQDNbrFfM2B1wr9BrIfJpu_cwAd6',
  cookieSessionID: undefined,
  sessionIDsMatch: false,
  hasSession: true,
  userId: undefined,
  role: undefined,
  cookieHeader: 'missing',
  sessionCookie: 'not found',
  isSigned: undefined,
  url: '/api/admin/dashboard/stats',
  method: 'GET',
  sessionKeys: [ 'cookie' ],
  storeType: 'PGStore',
  hasStore: true
}",prj_PiULWFp3ADNxPLPvR42vjFB7jwQS,,,,,
2026-01-25 07:13:24,1769325204382,api.jabclubegy.com/api/admin/dashboard/stats,GET,,401,zrs7v-1769325204265-da6dc692368a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/index.ts,api.jabclubegy.com,api.jabclubegy.com,dpl_7Fvgf4B5jgQEbWcDj6oJL48o8kzZ,,,,,"🔐 Auth middleware - Session check: {
  sessionID: 'YKQOcQDNbrFfM2B1wr9BrIfJpu_cwAd6',
  hasSession: true,
  userId: undefined,
  role: undefined,
  cookie: undefined,
  sessionCookie: undefined
}",prj_PiULWFp3ADNxPLPvR42vjFB7jwQS,,,,,
2026-01-25 07:13:24,1769325204382,api.jabclubegy.com/api/admin/dashboard/stats,GET,,401,zrs7v-1769325204265-da6dc692368a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",warning,production,main,MISS,serverless,/api/index.ts,api.jabclubegy.com,api.jabclubegy.com,dpl_7Fvgf4B5jgQEbWcDj6oJL48o8kzZ,,,,,"⚠️ No userId in session: {
  sessionID: 'YKQOcQDNbrFfM2B1wr9BrIfJpu_cwAd6',
  sessionKeys: [ 'cookie' ]
}",prj_PiULWFp3ADNxPLPvR42vjFB7jwQS,,,,,
2026-01-25 07:13:24,1769325204265,api.jabclubegy.com/api/admin/dashboard/stats,GET,,401,zrs7v-1769325204265-da6dc692368a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/index.ts,api.jabclubegy.com,api.jabclubegy.com,dpl_7Fvgf4B5jgQEbWcDj6oJL48o8kzZ,8,iad1,290,2048,,prj_PiULWFp3ADNxPLPvR42vjFB7jwQS,,,01KFT004WENBGTH2563T0DTTMB,wSQD6qGaMJha,1
2026-01-25 07:13:22,1769325202875,api.jabclubegy.com/api/auth/login,POST,,200,zrs7v-1769325202755-3d41684a2cdf,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/index.ts,api.jabclubegy.com,api.jabclubegy.com,dpl_7Fvgf4B5jgQEbWcDj6oJL48o8kzZ,,,,,"📋 Request session info: {
  sessionID: 'N64jQBVaV6ruBeThIJUR2t7wiavZ8q_Z',
  cookieSessionID: undefined,
  sessionIDsMatch: false,
  hasSession: true,
  userId: undefined,
  role: undefined,
  cookieHeader: 'missing',
  sessionCookie: 'not found',
  isSigned: undefined,
  url: '/api/auth/login',
  method: 'POST',
  sessionKeys: [ 'cookie' ],
  storeType: 'PGStore',
  hasStore: true
}",prj_PiULWFp3ADNxPLPvR42vjFB7jwQS,,,,,
2026-01-25 07:13:23,1769325203189,api.jabclubegy.com/api/auth/login,POST,,200,zrs7v-1769325202755-3d41684a2cdf,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/index.ts,api.jabclubegy.com,api.jabclubegy.com,dpl_7Fvgf4B5jgQEbWcDj6oJL48o8kzZ,,,,,"💾 Saving session to PostgreSQL: {
  sessionId: 'N64jQBVaV6ruBeThIJUR2t7wiavZ8q_Z',
  userId: 1,
  role: 'admin'
}",prj_PiULWFp3ADNxPLPvR42vjFB7jwQS,,,,,
